G2457	SAMEA118265411
G2458m	SAMEA118265412
G2459m	SAMEA118265413
G2460	SAMEA118265414
G2462	SAMEA118265415
G2463	SAMEA118265416
G2464	SAMEA118265417
G2465m	SAMEA118265418
G2466	SAMEA118265419
G2468	SAMEA118265420
G2469	SAMEA118265421
G2470	SAMEA118265422
G2471	SAMEA118265423
G2472	SAMEA118265424
G2473	SAMEA118265425
G2475	SAMEA118265426
G2476	SAMEA118265427
G2477	SAMEA118265428
G2478	SAMEA118265429
G2479	SAMEA118265430
G2481	SAMEA118265431
G2483m	SAMEA118265432
G2485	SAMEA118265433
G2486	SAMEA118265434
G2490	SAMEA118265435
G2491	SAMEA118265436
G2496	SAMEA118265437
G2497	SAMEA118265438
G2498m	SAMEA118265439
G2499m	SAMEA118265440
G2500	SAMEA118265441
G2501	SAMEA118265442
G2502	SAMEA118265443
G2511	SAMEA118265444
G2512	SAMEA118265445
G2526	SAMEA118265446
G2527	SAMEA118265447
G2532	SAMEA118265449
G2533	SAMEA118265450
G2534	SAMEA118265451
G2535	SAMEA118265452
G2536	SAMEA118265453
G2537m	SAMEA118265454
G2541	SAMEA118265455
G2547	SAMEA118265456
G2567	SAMEA118265458
G2571	SAMEA118265459
G2579	SAMEA118265460
G2580	SAMEA118265461
G2581	SAMEA118265462
G2602	SAMEA118265463
G2603	SAMEA118265464
G2606	SAMEA118265465
G2607	SAMEA118265466
G2610	SAMEA118265467
G2612	SAMEA118265468
G2615	SAMEA118265469
G2620	SAMEA118265470
G2622	SAMEA118265471
G2623	SAMEA118265472
G2624	SAMEA118265473
G2626	SAMEA118265474
G2630	SAMEA118265475
G2631	SAMEA118265476
G2632	SAMEA118265477
G2636	SAMEA118265478
G2638	SAMEA118265479
G2641	SAMEA118265480
G2645	SAMEA118265481
G2648	SAMEA118265482
G2650	SAMEA118265483
G2653	SAMEA118265484
G2654	SAMEA118265485
G2656	SAMEA118265486
G2657	SAMEA118265487
G2660	SAMEA118265488
G2661	SAMEA118265489
G2668	SAMEA118265490
G2669	SAMEA118265491
G2671	SAMEA118265492
G2682	SAMEA118265493
G2684	SAMEA118265494
G2685	SAMEA118265495
G2688	SAMEA118265496
G2691	SAMEA118265497
G2695	SAMEA118265498
G2698	SAMEA118265499
G2704	SAMEA118265500
G2705	SAMEA118265501
G2706	SAMEA118265502
G2707	SAMEA118265503
G2709	SAMEA118265504
G271	SAMEA5076126
G2713	SAMEA118265505
G2724	SAMEA118265506
G2725	SAMEA118265507
G2726	SAMEA118265508
G2727	SAMEA118265509
G2728	SAMEA118265510
G2729	SAMEA118265511
G2730	SAMEA118265512
G2740	SAMEA118265513
G2743	SAMEA118265514
G2749	SAMEA118265515
G2755	SAMEA118265517
G2758	SAMEA118265518
G2759	SAMEA118265519
G2761	SAMEA118265520
G2765	SAMEA118265521
G2766	SAMEA118265522
G2767	SAMEA118265523
G2769	SAMEA118265524
G2770	SAMEA118265525
G2772	SAMEA118265526
G2773	SAMEA118265527
G2779	SAMEA118265528
G2780	SAMEA118265529
G2783	SAMEA118265530
G2785	SAMEA118265531
G2786	SAMEA118265532
G2788	SAMEA118265533
G2789	SAMEA118265534
G2791	SAMEA118265535
G2796	SAMEA118265536
G2798Lib2	SAMEA118265537
G2801	SAMEA118265538
G2803	SAMEA118265539
G2804	SAMEA118265540
G2805	SAMEA118265541
G2806	SAMEA118265542
G2807	SAMEA118265543
G2808	SAMEA118265544
G2809	SAMEA118265545
G2812	SAMEA118265546
G2813	SAMEA118265547
G2817	SAMEA118265548
G2821	SAMEA118265549
